vehicle_type,vehicle_manoeuvre,junction_location,skidding_and_overturning,hit_object_in_carriageway,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_of_vehicle,driver_home_area_type,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Male,28,2,Urban area,Pedestrian,Female,19,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,23,5,Urban area,Passenger,Female,47,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,43,4,Urban area,Driver or rider,Male,43,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Female,44,15,Urban area,Driver or rider,Male,21,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,52,4,Urban area,Driver or rider,Male,52,survived
Taxi,Parked,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,57,8,Urban area,Driver or rider,Male,57,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Male,38,6,Urban area,Driver or rider,Male,20,Died
Goods ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,48,7,Urban area,Driver or rider,Male,43,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Female,50,6,Rural,Driver or rider,Male,31,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,26,survived
Goods ,Parked,Mid Junction ,Skidded,Other object,Journey as part of work,Male,46,2,Urban area,Driver or rider,Male,27,survived
Goods ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,50,4,Rural,Driver or rider,Female,37,Died
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Female,23,6,Urban area,Passenger,Male,1,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Male,9,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,76,9,Small town,Driver or rider,Female,76,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,41,7,Urban area,Passenger,Female,11,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,34,7,Urban area,Pedestrian,Female,91,survived
Taxi,U-turn,Cleared junction or waiting,Skidded,Other object,Journey as part of work,Male,59,3,Urban area,Driver or rider,Male,27,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,20,8,Urban area,Driver or rider,Male,53,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,from school,Female,46,8,Urban area,Pedestrian,Female,11,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,35,1,Urban area,Passenger,Male,15,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,33,3,Urban area,Driver or rider,Male,37,survived
Van ,Turning right,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,55,8,Urban area,Driver or rider,Male,35,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,23,13,Urban area,Driver or rider,Female,23,survived
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,44,7,Urban area,Driver or rider,Male,44,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,27,13,Urban area,Driver or rider,Female,27,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Female,22,2,Small town,Passenger,Male,22,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,36,2,Urban area,Passenger,Male,4,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,19,7,Urban area,Driver or rider,Female,34,Died
Car,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Female,25,12,Urban area,Driver or rider,Male,82,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,21,7,Urban area,Driver or rider,Male,59,survived
Motorcycle ,Turning left,Leaving main road,Skidded,Other object,Other,Male,25,3,Urban area,Driver or rider,Male,28,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,28,12,Urban area,Passenger,Male,34,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,26,7,Urban area,Driver or rider,Male,40,survived
Car,Waiting to go ,Cleared junction or waiting,Skidded,Other object,Other,Male,42,10,Urban area,Passenger,Female,14,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,40,1,Rural,Passenger,Female,71,Died
Motorcycle ,Going ahead other,Leaving main road,Skidded,Kerb,Other,Male,39,9,Urban area,Driver or rider,Male,39,Died
Minibus,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,61,7,Urban area,Driver or rider,Male,50,survived
Car,Reversing,Leaving main road,Skidded,Other object,from work,Female,61,10,Rural,Driver or rider,Male,18,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Male,39,7,unknown,Pedestrian,Female,8,Died
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,52,7,Urban area,Passenger,Female,48,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,26,10,Urban area,Driver or rider,Male,25,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,34,5,Urban area,Passenger,Female,7,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,from work,Female,22,15,Small town,Driver or rider,Male,27,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,23,15,Urban area,Driver or rider,Male,23,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,41,3,Urban area,Pedestrian,Female,71,Died
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,38,survived
Car,Reversing,Mid Junction ,Skidded,Other object,Other,Male,38,12,Urban area,Driver or rider,Female,43,survived
Van ,Going ahead other,Approaching junction or waiting,Skidded,Parked vehicle,Journey as part of work,Male,69,8,Rural,Driver or rider,Male,69,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,20,11,Rural,Passenger,Male,21,Died
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,37,7,unknown,Driver or rider,Male,37,survived
Car,Going ahead other,Entering from slip road,Skidded,Other object,Other,Female,29,12,Rural,Driver or rider,Male,60,survived
Motorcycle ,Turning left,Leaving main road,Skidded,Other object,Other,Male,54,6,Small town,Driver or rider,Male,54,Died
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,48,12,Urban area,Pedestrian,Male,2,survived
Car,Moving off,Approaching junction or waiting,Skidded,Other object,Other,Male,40,7,unknown,Pedestrian,Female,20,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,from work,Male,23,1,Urban area,Driver or rider,Male,42,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,35,4,Urban area,Driver or rider,Male,32,survived
Car,Going ahead other,Leaving roundabout,Skidded,Other object,Other,Female,30,3,Urban area,Driver or rider,Male,60,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,9,Urban area,Passenger,Female,16,survived
Car,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Male,59,7,Urban area,Passenger,Female,18,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Male,54,7,Urban area,Driver or rider,Male,45,survived
Car,Reversing,Leaving main road,Skidded,Other object,from school,Female,42,5,Rural,Driver or rider,Female,46,survived
Car,Moving off,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Female,34,11,Urban area,Driver or rider,Female,45,survived
Van ,Reversing,Leaving main road,Skidded,Other object,Other,Male,30,15,Urban area,Pedestrian,Female,85,survived
Car,Turning left,Mid Junction ,Skidded,Other object,from work,Female,52,11,Urban area,Driver or rider,Male,46,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,34,7,Rural,Driver or rider,Male,22,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Female,34,12,Urban area,Passenger,Female,11,survived
Car,Turning left,Mid Junction ,Skidded,Other object,Journey as part of work,Male,34,7,Urban area,Passenger,Female,8,survived
Pedal cycle,Turning left,Cleared junction or waiting,Skidded,Other object,Other,Male,49,7,Urban area,Driver or rider,Male,49,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,47,7,Urban area,Driver or rider,Male,47,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Female,28,4,Rural,Driver or rider,Male,31,survived
Van ,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Male,43,9,Small town,Driver or rider,Female,19,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,23,9,Urban area,Passenger,Male,30,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,39,7,Urban area,Driver or rider,Male,41,Died
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,51,3,Urban area,Driver or rider,Female,51,survived
Goods ,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Male,44,6,Urban area,Driver or rider,Female,44,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,45,3,Rural,Driver or rider,Male,46,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Male,28,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,30,9,Urban area,Driver or rider,Male,51,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,44,1,Urban area,Driver or rider,Male,34,Died
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,35,7,Urban area,Driver or rider,Male,35,Died
Car,Turning left,Leaving main road,Skidded ,Other object,Journey as part of work,Female,49,8,Small town,Driver or rider,Female,49,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,38,6,Small town,Driver or rider,Female,42,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Male,36,7,Urban area,Driver or rider,Female,23,survived
Car,Waiting to go ,Cleared junction or waiting,Skidded,Other object,from work,Male,31,8,Urban area,Driver or rider,Male,31,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,23,1,Urban area,Driver or rider,Male,23,survived
Goods ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,37,7,Urban area,Passenger,Female,18,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,49,7,unknown,Driver or rider,Female,17,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,57,5,Small town,Driver or rider,Male,35,survived
Van ,Going ahead other,Leaving main road,Skidded,Kerb,Journey as part of work,Male,32,2,Urban area,Pedestrian,Male,29,Died
Van ,Turning left,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Female,48,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,40,7,Rural,Driver or rider,Male,40,Died
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,23,7,Urban area,Driver or rider,Male,32,survived
Car,Moving off,Mid Junction ,Skidded,Other object,Other,Male,34,1,Urban area,Driver or rider,Male,19,survived
Car,Going ahead other,Leaving main road,Skidded,Parked vehicle,Other,Male,38,7,unknown,Passenger,Female,22,survived
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,36,7,Urban area,Driver or rider,Male,36,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,60,7,Urban area,Pedestrian,Male,69,survived
Car,Reversing,Leaving main road,Skidded ,Kerb,Other,Female,18,8,Urban area,Driver or rider,Female,18,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,32,9,Small town,Passenger,Female,1,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,66,5,Urban area,Passenger,Female,7,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,60,15,Urban area,Passenger,Male,24,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,46,3,Small town,Driver or rider,Male,46,survived
Van ,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,19,8,unknown,Passenger,Female,58,survived
Motorcycle ,Turning left,Leaving main road,Skidded,Other object,from work,Male,39,3,Rural,Driver or rider,Male,39,survived
Motorcycle ,Going ahead other,Approaching junction or waiting,Overturned,Other object,Other,Male,47,2,Small town,Driver or rider,Male,47,survived
Motorcycle ,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,31,1,Urban area,Driver or rider,Male,25,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,6,Urban area,Driver or rider,Female,55,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,71,11,Urban area,Driver or rider,Female,68,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,54,6,Urban area,Driver or rider,Male,21,survived
Car,Slowing or stopping,Cleared junction or waiting,Skidded,Other object,from work,Female,30,5,Urban area,Driver or rider,Female,37,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Female,26,3,Urban area,Driver or rider,Male,43,survived
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,11,7,Urban area,Driver or rider,Male,11,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,77,7,Small town,Driver or rider,Male,77,survived
Car,U-turn,Cleared junction or waiting,Skidded,Other object,Journey as part of work,Female,25,12,Urban area,Driver or rider,Female,20,survived
Car,Going ahead other,Mid Junction ,Overturned,Other object,Other,Female,37,12,Small town,Driver or rider,Female,43,survived
Car,Reversing,Cleared junction or waiting,Skidded ,Other object,Other,Female,17,6,Urban area,Driver or rider,Female,17,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,from school,Male,39,7,Urban area,Passenger,Female,12,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Female,38,7,unknown,Driver or rider,Male,19,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,21,12,Rural,Driver or rider,Male,21,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,18,6,Urban area,Passenger,Male,20,survived
Car,Reversing,Leaving main road,Skidded,Kerb,from work,Male,37,8,Small town,Driver or rider,Male,37,survived
Car,Going ahead other,Leaving main road,Skidded ,Other object,Other,Female,21,1,Urban area,Driver or rider,Female,21,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,52,7,Urban area,Passenger,Female,18,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,43,7,Urban area,Driver or rider,Male,43,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Male,25,8,Urban area,Driver or rider,Male,25,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,35,12,Rural,Driver or rider,Male,35,Died
Goods ,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,38,7,unknown,Driver or rider,Male,58,survived
Bus,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Male,62,14,Urban area,Driver or rider,Male,62,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Female,18,7,Urban area,Passenger,Male,19,survived
Car,Reversing,Mid Junction ,Skidded,Other object,Other,Male,43,7,Urban area,Passenger,Male,4,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Female,48,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,30,6,Small town,Passenger,Male,10,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Male,22,14,Urban area,Driver or rider,Male,22,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Female,45,4,unknown,Passenger,Female,14,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,38,13,unknown,Driver or rider,Male,35,survived
Agricultural vehicle,Turning left,Mid Junction ,Skidded,Other object,Journey as part of work,Male,60,2,Small town,Driver or rider,Female,70,Died
Motorcycle ,Waiting to go ,Approaching junction or waiting,Skidded,Other object,from work,Male,35,2,Urban area,Driver or rider,Male,35,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,6,unknown,Pedestrian,Female,29,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,47,9,Urban area,Driver or rider,Female,27,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,30,7,Urban area,Driver or rider,Male,40,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,from work,Female,22,7,Urban area,Driver or rider,Male,25,survived
Van ,Waiting to go ,Leaving main road,Skidded,Other object,Journey as part of work,Male,26,6,Urban area,Passenger,Female,34,survived
Pedal cycle,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Female,11,7,Urban area,Driver or rider,Female,11,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,19,survived
Pedal cycle,U-turn,Mid Junction ,Skidded,Other object,Other,Male,56,7,unknown,Driver or rider,Male,56,survived
Taxi,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,56,3,Urban area,Driver or rider,Male,56,survived
Car,Moving off,Approaching junction or waiting,Skidded,Other object,Other,Female,58,4,Urban area,Driver or rider,Female,58,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Male,20,7,Urban area,Driver or rider,Male,52,Died
Motorcycle ,Turning left,Leaving main road,Skidded,Parked vehicle,from work,Male,45,22,Small town,Driver or rider,Male,45,Died
Car,Waiting to go ,Cleared junction or waiting,Skidded,Other object,Other,Female,38,7,unknown,Pedestrian,Female,35,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded ,Other object,Other,Male,42,7,Rural,Driver or rider,Male,42,survived
Car,Overtaking ,Approaching junction or waiting,Skidded,Other object,Other,Male,38,16,unknown,Driver or rider,Male,53,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,20,2,Urban area,Driver or rider,Female,22,survived
Car,Reversing,Mid Junction ,Skidded,Other object,Other,Male,17,15,unknown,Passenger,Female,18,survived
Bus,Moving off,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,23,6,Urban area,Passenger,Female,41,survived
Car,Waiting to go ,Leaving roundabout,Skidded,Other object,Other,Female,29,12,Urban area,Driver or rider,Female,29,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,32,12,Urban area,Driver or rider,Male,23,survived
Bus,Turning left,Leaving main road,Skidded,Other object,Journey as part of work,Male,56,7,Urban area,Driver or rider,Male,56,survived
Van ,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Male,76,27,Rural,Driver or rider,Female,39,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,31,6,Urban area,Driver or rider,Female,56,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Female,27,4,Urban area,Driver or rider,Female,27,survived
Car,Going ahead other,Leaving roundabout,Skidded,Kerb,Other,Female,63,4,Urban area,Driver or rider,Female,63,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Male,39,11,Urban area,Pedestrian,Female,13,survived
Goods ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,44,9,Urban area,Driver or rider,Female,46,survived
Car,Going ahead other,Leaving main road,Skidded,Kerb,Journey as part of work,Male,46,7,Rural,Passenger,Female,54,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,12,unknown,Driver or rider,Female,20,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,18,8,Rural,Driver or rider,Male,25,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,19,7,Urban area,Driver or rider,Male,19,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,from school,Male,45,1,Urban area,Passenger,Male,6,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,48,5,Small town,Passenger,Male,86,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,18,7,Urban area,Pedestrian,Male,28,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Female,23,12,Urban area,Driver or rider,Female,23,survived
Car,Turning left,Approaching junction or waiting,Overturned,Other object,Other,Male,18,13,unknown,Passenger,Female,16,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,38,6,Urban area,Driver or rider,Male,42,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,42,3,Urban area,Driver or rider,Male,17,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Male,61,7,Urban area,Driver or rider,Male,61,survived
Motorcycle ,Reversing,Leaving main road,Skidded,Other object,Other,Male,17,6,Urban area,Driver or rider,Female,24,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,38,7,Urban area,Driver or rider,Male,66,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Female,81,9,Urban area,Driver or rider,Female,81,survived
Taxi,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Male,58,5,Urban area,Pedestrian,Male,70,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,34,5,Urban area,Driver or rider,Female,34,survived
Van ,Turning right,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Female,50,10,Urban area,Driver or rider,Male,46,Died
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,64,10,Urban area,Passenger,Female,44,survived
Agricultural vehicle,Reversing,Mid Junction ,Skidded,Other object,Journey as part of work,Male,26,1,Rural,Driver or rider,Male,70,survived
Car,Going ahead other,Leaving roundabout,Skidded,Other object,Other,Male,23,9,Urban area,Driver or rider,Female,22,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,38,1,Urban area,Passenger,Male,16,survived
Motorcycle ,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,20,6,Urban area,Driver or rider,Male,20,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Male,40,7,unknown,Passenger,Female,43,survived
Car,Parked,Cleared junction or waiting,Skidded,Other object,Other,Female,53,7,unknown,Driver or rider,Female,18,survived
Agricultural vehicle,Turning left,Leaving main road,Skidded,Other object,Journey as part of work,Male,65,7,Rural,Passenger,Female,33,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Female,18,8,Small town,Pedestrian,Male,9,survived
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,21,7,Rural,Driver or rider,Male,21,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,25,7,Urban area,Driver or rider,Male,25,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,54,7,Urban area,Driver or rider,Male,28,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,7,Urban area,Driver or rider,Male,38,survived
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,16,7,Urban area,Driver or rider,Male,16,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Male,71,Died
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,38,6,unknown,Passenger,Male,22,Died
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Female,33,7,Urban area,Driver or rider,Female,33,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Female,51,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,32,7,Urban area,Driver or rider,Female,23,survived
Bus,Moving off,Mid Junction ,Skidded,Other object,Other,Male,46,3,unknown,Driver or rider,Female,20,survived
Van ,Moving off,Mid Junction ,Skidded,Other object,Journey as part of work,Male,28,7,unknown,Driver or rider,Male,20,survived
Car,Going ahead other,Cleared junction or waiting,Overturned,Other object,Other,Female,26,10,Urban area,Passenger,Female,21,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded ,Other object,Other,Male,23,7,Small town,Driver or rider,Male,23,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,79,2,Rural,Driver or rider,Female,79,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Female,30,7,Urban area,Driver or rider,Female,30,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,44,13,Rural,Driver or rider,Female,26,survived
Car,Reversing,Leaving main road,Skidded,Other object,from work,Male,42,1,Rural,Driver or rider,Male,42,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,44,7,Urban area,Driver or rider,Male,39,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,from work,Male,40,8,Urban area,Driver or rider,Male,48,Died
Van ,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,30,10,Rural,Driver or rider,Female,19,survived
Car,Turning left,Leaving roundabout,Skidded,Other object,Other,Male,40,7,Urban area,Driver or rider,Male,40,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,34,12,Urban area,Passenger,Female,46,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,55,10,Urban area,Pedestrian,Male,22,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,27,5,Urban area,Passenger,Female,44,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Journey as part of work,Female,28,2,Urban area,Driver or rider,Female,28,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,22,6,Urban area,Driver or rider,Male,25,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,24,5,Urban area,Driver or rider,Male,32,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,52,4,Urban area,Driver or rider,Male,58,survived
Motorcycle ,Overtaking ,Mid Junction ,Skidded,Other object,Journey as part of work,Male,43,12,Urban area,Driver or rider,Male,43,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,from work,Male,27,1,Rural,Driver or rider,Male,44,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,from work,Male,39,9,Urban area,Driver or rider,Female,19,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Female,46,6,Urban area,Driver or rider,Female,46,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,45,2,Urban area,Pedestrian,Male,40,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Female,51,7,Urban area,Passenger,Male,30,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,40,survived
Pedal cycle,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Male,65,7,Urban area,Driver or rider,Male,65,Died
Car,Turning right,Leaving main road,Skidded,Other object,from school,Female,39,1,unknown,Driver or rider,Female,39,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,20,7,Urban area,Driver or rider,Female,38,survived
Goods ,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Male,35,7,unknown,Driver or rider,Male,35,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,57,10,Urban area,Driver or rider,Female,60,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Female,68,1,Small town,Passenger,Male,23,survived
Car,Reversing,Leaving main road,Skidded,Other object,from school,Male,29,6,Urban area,Pedestrian,Female,2,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,22,10,Urban area,Driver or rider,Male,39,survived
Motorcycle ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,25,10,Urban area,Driver or rider,Male,25,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,37,9,Urban area,Passenger,Male,43,survived
Car,Turning left,Mid Junction ,Skidded,Other object,Other,Female,38,7,Urban area,Passenger,Male,37,survived
Pedal cycle,Overtaking ,Mid Junction ,Skidded,Other object,from work,Female,47,7,Urban area,Driver or rider,Female,47,survived
